"gene","logFC_106839","logFC_299945","adjP_106839","adjP_299945","avg_logFC","direction_consistent","fisher_combined_p","stouffer_combined_p","effect_ratio","effect_consistent","integrated_score","fisher_FDR","stouffer_FDR"
"SLC25A14",-0.870190961903682,-1.50765289393198,0.00407535278320119,4.22583337911819e-05,-1.18892192791783,TRUE,2.85442210811714e-06,1.65463487511452e-06,0.577182563311514,TRUE,0.75,3.67133259308056e-05,2.09212766893989e-05
"MFSD4A",0.757559470635423,2.48236894946605,0.00411856548509296,0.00894620345035008,1.61996421005074,TRUE,0.000412993247992483,0.00019808226064677,0.305176017770594,TRUE,1,0.00128648686879246,0.00072157507810265
"RASEF",-0.61604864659417,-1.42165271833813,0.00416727405482871,7.90822007584033e-05,-1.01885068246615,TRUE,5.24836848015769e-06,2.85483950601684e-06,0.433332725107657,TRUE,0.75,5.5253991457797e-05,2.96903308625751e-05
"CHL1",0.732164646827958,1.86631331367089,0.00421582352423786,0.0602602431192241,1.29923898024942,TRUE,0.0023570421270319,0.00153537918190183,0.392305322726252,TRUE,1,0.00510953684622055,0.00379150206629437
"ANKRD34B",-1.22342842651163,-3.65748555326307,0.00426950938061692,0.00018350073930125,-2.44045698988735,TRUE,1.17985254531897e-05,5.9635870732766e-06,0.334499865739765,TRUE,0.75,9.45220243300903e-05,4.96535992466527e-05
"FBXO43",-1.44904433037273,-2.17214914362985,0.00426950938061692,0.00163406373440891,-1.81059673700129,TRUE,8.98100139597584e-05,4.08248072332196e-05,0.667101674220792,TRUE,0.75,0.000405011098763783,0.000207826466131393
"QKI",0.695177314782495,1.55651156631632,0.00428477648128804,9.58143396983399e-05,1.12584444054941,TRUE,6.44790058929066e-06,3.45913788213359e-06,0.446625216173447,TRUE,1,6.23174519895412e-05,3.44127378978454e-05
"MYO1D",0.55690195115523,1.48103072487583,0.00429426467805661,0.000111650510886431,1.01896633801553,TRUE,7.45584734448601e-06,3.94263273562068e-06,0.376023226123091,TRUE,1,6.94370300730086e-05,3.76750338975432e-05
"PDXK",0.717979790166421,2.28608110196305,0.00430166257804051,4.05468727369313e-05,1.50203044606473,TRUE,2.88869299073297e-06,1.70300666746392e-06,0.314065756262932,TRUE,1,3.68712361547515e-05,2.12900951525431e-05
"FLRT2",0.84957895627949,1.21270726403393,0.00430166257804051,0.017966772147173,1.03114311015671,TRUE,0.000809039059169679,0.000417154117772101,0.700563921299082,TRUE,1,0.00217793111959618,0.00131491197554345
"TSPAN2",-0.94805534815808,-1.22411696064038,0.00443187004841217,0.0270457016968312,-1.08608615439923,TRUE,0.00120212565963557,0.000657588639798146,0.774481016635958,TRUE,0.75,0.00298979374738003,0.00189840644105214
"TBX6",0.633285289019339,1.81410843101237,0.00444526939728118,0.00219435396370222,1.22369686001586,TRUE,0.000122299729759703,5.5692762673698e-05,0.349088995008932,TRUE,1,0.000506900982612832,0.000264158845227904
"KCNH7",1.16583015482505,1.65978017922914,0.00449519943914742,0.00115492092163669,1.4128051670271,TRUE,6.83654202339158e-05,3.14106526502211e-05,0.702400335547148,TRUE,1,0.000330367903023187,0.000168184896944583
