"gene","logFC_106839","logFC_299945","avg_logFC","SE_106839","SE_299945","P_106839","P_299945","FDR_106839","FDR_299945","sig_106839","sig_299945","direction_consistent","category"
"CIAO1",-0.483225196574554,-1.00081201308649,-0.742018604830522,0.0909504710487783,0.127416002612335,0.000485830048938713,1.15185151534532e-05,0.00226595012847579,3.70193989691198e-05,TRUE,TRUE,TRUE,"Moderate"
"CASC3",0.867455257247282,0.614858963927542,0.741157110587412,0.125948064862594,0.0560518435297243,7.17606816955648e-05,5.18683314051731e-07,0.000548405427598985,2.7499693789737e-06,TRUE,TRUE,TRUE,"Moderate"
"PLEKHO1",0.146378354787023,1.33488980303207,0.740634078909545,0.180468932943447,0.152669636976285,0.438236299280288,4.35592758461413e-06,0.533728816127693,1.60749011828699e-05,FALSE,TRUE,TRUE,"Moderate"
"DDHD2",1.03138898562728,0.449629555978476,0.740509270802878,0.102044213109962,0.0888586936459891,3.28036838515677e-06,0.00044769126163755,6.9699544426033e-05,0.000934012961918757,TRUE,TRUE,TRUE,"Moderate"
"CPEB3",-0.681561128733319,-0.798843451610684,-0.740202290172002,0.162447339906495,0.329125574523099,0.00232316459401279,0.0349441929934421,0.00764155859813277,0.048398426312234,TRUE,TRUE,TRUE,"Moderate"
"KCTD6",0.151988543209306,1.32838188501562,0.740185214112463,0.127074523058213,0.0970645151722875,0.2622406031203,6.07193215827562e-08,0.352531144696309,5.09364278960429e-07,FALSE,TRUE,TRUE,"Moderate"
"NSUN4",0.563235292401224,0.915720737647045,0.739478015024134,0.144397685835396,0.0957805640909918,0.00361799585484005,1.90363321276497e-06,0.0109149577348957,8.02865656752101e-06,TRUE,TRUE,TRUE,"Moderate"
"MSMO1",-0.00999912595399177,-1.46854544169111,-0.73927228382255,0.0736758483843141,0.113598741770701,0.895032200509583,1.06058772360807e-07,0.920973576505764,7.98906455366004e-07,FALSE,TRUE,TRUE,"Moderate"
"SNORD14",-0.50502481210759,-0.973506269628017,-0.739265540867804,0.175442954917529,0.458462311455046,0.0182251671861254,0.0588695485183479,0.0398820693638645,0.0779430969682736,TRUE,FALSE,TRUE,"Moderate"
"PDE10A",-0.742241183753034,-0.735695401653109,-0.738968292703071,0.0885566834387638,0.108888277865991,1.52511805636718e-05,4.3106081398948e-05,0.000189540237969021,0.000116472244345134,TRUE,TRUE,TRUE,"Moderate"
"FGF12",-0.615341172418364,-0.862444437854433,-0.738892805136398,0.0887035882688373,0.104054379601565,6.79007267977368e-05,7.09642836766437e-06,0.000526074323458708,2.43811140406403e-05,TRUE,TRUE,TRUE,"Moderate"
"LCAT",-0.146861352359899,-1.33082872744483,-0.738845039902363,0.194069628303096,0.248710487068949,0.468553392484452,0.000291338375928826,0.561996898697673,0.000637184868340874,FALSE,TRUE,TRUE,"Moderate"
"MTMR6",0.583344578249773,0.893655195323277,0.738499886786525,0.12739419453742,0.06175690036791,0.00133050835141004,3.50734023076234e-08,0.00495420979412961,3.36496701272911e-07,TRUE,TRUE,TRUE,"Moderate"
