"gene","logFC","AveExpr","t","P.Value","adj.P.Val","B","DEG"
"TPH2",1.92849151908201,2.96215208226288,19.7688919472267,1.50100131306049e-10,3.42080527411967e-08,14.7681412028557,"Up"
"NKX6-1",4.00725375310272,3.11110745579472,19.8029324586903,1.4710555846411e-10,3.42080527411967e-08,14.666275624447,"Up"
"SYT11",2.7659185017624,4.34369670579227,19.6500567104221,1.61081693093234e-10,3.53398349517416e-08,14.7265930803709,"Up"
"TCFL5",1.75933107410491,4.14167306426234,19.5383963145257,1.7219470078728e-10,3.53398349517416e-08,14.6604360182168,"Up"
"RBM38",1.90693635859236,5.86959062707503,19.5262425865486,1.73453412406874e-10,3.53398349517416e-08,14.6524648742155,"Up"
"RFX2",2.38567462956427,3.3036811356207,19.4797839299638,1.78357376974975e-10,3.53398349517416e-08,14.623255114338,"Up"
"NKX6-2",2.09982358638454,4.90990750466179,19.4389743800068,1.82788765548642e-10,3.53398349517416e-08,14.6007610910788,"Up"
"SLC16A3",3.09156960511516,4.71632527428837,18.4418626680418,3.38168890969939e-10,5.61881367003464e-08,13.9858296734303,"Up"
"CACNA1S",3.5439194813504,2.58853239283023,18.3478190271047,3.58945732135747e-10,5.69843281167958e-08,13.8966779334947,"Up"
"PABPN1L",4.05500779123742,2.59062693602839,18.3512002585576,3.58175282917504e-10,5.69843281167958e-08,13.7835479947873,"Up"
"RGS9BP",2.72454329625092,4.93206839622748,18.3057799843156,3.68675730603434e-10,5.74451406906906e-08,13.8986763703001,"Up"
"GPR75",1.6274163875809,4.28445787177626,18.2405564225352,3.84340263671284e-10,5.80237100849195e-08,13.8574587053547,"Up"
"JMJD6",2.07604401838741,5.24463369613602,18.2276527549854,3.87523667639511e-10,5.80237100849195e-08,13.848858026334,"Up"
"MYOM1",-2.26429575893992,3.20251978752188,-18.2054137711583,3.93077189783743e-10,5.80237100849195e-08,13.8342436945281,"Down"
"KIF1A",1.52227731368004,3.87250332054033,18.1466922012314,4.08158605464308e-10,5.9211146661667e-08,13.796645562407,"Up"
"SH3BP2",-2.21741761205098,3.70941947580053,-18.0653947821706,4.30078921744619e-10,6.07009553530603e-08,13.74864294215,"Down"
"MMP23B",-1.87675603141672,5.30994437396914,-18.012288797036,4.45082649951253e-10,6.07009553530603e-08,13.7021538671826,"Down"
"LRRC8C",1.87994346473461,4.96649123013836,17.9867588972672,4.52495859692669e-10,6.07009553530603e-08,13.6914067002112,"Up"
"SLC35G1",1.7510598835138,4.37334217296795,17.9799356332043,4.5449966570511e-10,6.07009553530603e-08,13.6890355727088,"Up"
"ALB",-1.5623128763419,4.51350933432912,-17.8793676575354,4.8517248606426e-10,6.18521408749195e-08,13.6249417472152,"Down"
"MRM1",1.6320373615255,4.52277106552167,17.7907554274807,5.14056124049962e-10,6.36068857022997e-08,13.5640585526144,"Up"
"OTUD7A",1.61847293994971,3.08475790933467,17.7011849623147,5.45149046002932e-10,6.46040010291362e-08,13.514269397448,"Up"
"PPP1R3B",-1.89773405390131,5.35480613659913,-17.6640241219631,5.58639846518498e-10,6.47942295744e-08,13.4706317410732,"Down"
"GPATCH3",1.95972263192314,4.66367707918543,17.6370392818017,5.68662219645914e-10,6.47942295744e-08,13.4594520880959,"Up"
"KIF18A",-1.51486500057351,5.31353577286202,-17.6303086515013,5.71192172969754e-10,6.47942295744e-08,13.4547782094371,"Down"
"GINS1",1.7888461631623,4.62400530941252,17.6135163926545,5.77557311395294e-10,6.47942295744e-08,13.4442589632141,"Up"
"CDH20",-3.61636429612536,4.28561659643596,-17.4643263804341,6.37592141008567e-10,6.96714321356635e-08,13.3495275797572,"Down"
"SLC23A1",-2.29134738787792,2.42521825985143,-17.3200886439676,7.02086597853588e-10,7.27909506392666e-08,13.2439142213706,"Down"
"AQP9",-4.29657590130184,3.90311013581205,-17.263492540242,7.29288535394551e-10,7.27909506392666e-08,13.2243700779582,"Down"
"F5",-1.84347724450718,5.66473895102297,-17.2888251859625,7.16974686405767e-10,7.27909506392666e-08,13.2185258185917,"Down"
"RGS20",3.80616154554751,2.478368320508,17.2509153900746,7.35486790975643e-10,7.27909506392666e-08,13.2137885252922,"Up"
"BBOF1",-1.57821848996776,4.10642621230303,-17.2405059101371,7.40659809351625e-10,7.27909506392666e-08,13.197642964007,"Down"
"CECR2",1.9000527419377,5.1213144892578,17.2346861976938,7.43569043977121e-10,7.27909506392666e-08,13.1882003048079,"Up"
"SH3GL3",3.14093976461864,2.45281322741438,17.156894569506,7.83664412192115e-10,7.56917989561604e-08,13.1354956737063,"Up"
"ARL4C",2.76551418002102,4.21976243314847,17.1307775951675,7.97644241750832e-10,7.56917989561604e-08,13.1246596577602,"Up"
"TNFSF10",-1.63126082555178,6.96361272801883,-17.116038509453,8.05652432736177e-10,7.56917989561604e-08,13.067549727927,"Down"
"KCNK12",2.67899089898615,4.00068339357768,16.782039859076,1.01251177455512e-09,8.9676569169545e-08,12.8928724957918,"Up"
"PPP2R2B",2.17036892831906,3.47901213411266,16.6605568397621,1.10142240174801e-09,9.36097786697757e-08,12.8095677499542,"Up"
"PRKG2",-1.75094711203016,3.8313862405882,-16.5965181902631,1.15165410678142e-09,9.59440894726282e-08,12.765884983457,"Down"
"TBC1D32",-1.93770242291787,3.27627510638965,-16.418602906501,1.30465443746379e-09,1.02739428613764e-07,12.6471128577508,"Down"
"AATK",2.42417395373958,3.54278977224558,16.4165673817508,1.30652708125418e-09,1.02739428613764e-07,12.6282036861601,"Up"
"COL9A2",1.71100560067799,3.76819763996607,16.2973703738941,1.42141255692948e-09,1.07745632918961e-07,12.542606025115,"Up"
"DBX2",3.34073531628028,1.75707616408793,16.248564478703,1.47156019005434e-09,1.09572632204577e-07,12.4429196975709,"Up"
"NWD2",1.93467224752532,4.07644089105984,16.2294219619862,1.49174759476051e-09,1.10101440897499e-07,12.4833753113492,"Up"
"LAMA1",3.58558568791179,2.42291928384959,16.1407214530849,1.58927235911445e-09,1.14291774611872e-07,12.4508893343653,"Up"
"ROR1",1.51847716841276,3.20617351745762,16.1446189471863,1.58484552796042e-09,1.14291774611872e-07,12.4323872647398,"Up"
"TRIM9",1.5591712896582,4.44225867822374,16.0706761477325,1.67114914971402e-09,1.17798918815267e-07,12.3659748748764,"Up"
"ADCY1",-2.92547290387213,4.07656461625378,-15.9929838952353,1.76732390115879e-09,1.21124439943113e-07,12.3224314062051,"Down"
"SLC24A3",2.976298074481,1.96367292188068,15.9767121485307,1.788213657062e-09,1.21124439943113e-07,12.3117619563206,"Up"
"PLEKHG1",-2.54643811658931,4.53862562490089,-15.8869710984624,1.90831673337177e-09,1.22569290035039e-07,12.2415459911368,"Down"
"CLGN",2.08348408343725,4.47616291802755,15.8910617848761,1.90265664741073e-09,1.22569290035039e-07,12.2399801984931,"Up"
"TRIL",3.30834311693107,2.85283624179919,15.8667328214998,1.93658812063456e-09,1.23442821568327e-07,12.2549120641673,"Up"
"DUSP6",2.06868771312182,3.75280958500461,15.8520636415196,1.9573623636748e-09,1.23828924270374e-07,12.2177923177998,"Up"
"GPR12",2.33693497425355,3.49432442177701,15.8293187285419,1.99005042107291e-09,1.24031735132648e-07,12.224629023876,"Up"
"PIM1",2.18721543690296,4.45293926654299,15.8347449707719,1.98219888603024e-09,1.24031735132648e-07,12.1921059852444,"Up"
"CYP1B1",5.30371605129165,2.32567004205944,15.8085091535271,2.02047362102339e-09,1.25001948877138e-07,12.0349047685857,"Up"
"MYOC",3.7232362482633,2.82256393864176,15.7612537351396,2.09144074615148e-09,1.26314631533665e-07,12.1773467839679,"Up"
"FZD4",2.2245608189083,3.34212423296593,15.754539146199,2.10174095729892e-09,1.26314631533665e-07,12.1554049162583,"Up"
"AGT",-4.90523604700918,2.31816633436974,-15.6607822868453,2.25142995775294e-09,1.28867562343764e-07,12.1018887595006,"Down"
"TRHDE",-1.97557486408947,4.84934602669,-15.6695570581466,2.23694392841566e-09,1.28867562343764e-07,12.0657738706128,"Down"
"RASGRP3",-2.53806278464307,3.09292708812801,-15.6165261307635,2.32605074464762e-09,1.31357254334366e-07,12.0584447136551,"Down"
"PCDH18",2.48614697008544,2.65163781280253,15.5677788011669,2.41134548073583e-09,1.34364641555704e-07,12.0237912301677,"Up"
"PALD1",1.88428525731949,3.88341403543962,15.5357831395516,2.46916058381252e-09,1.36681033896043e-07,11.9731765539961,"Up"
"ST6GAL2",2.63209715435189,3.21973528571555,15.4984619762293,2.53849537213887e-09,1.36843958710872e-07,11.9863774614183,"Up"
"IGFBP2",1.91832918238446,3.14578079690782,15.4839668557882,2.56598824659164e-09,1.36843958710872e-07,11.9750501780467,"Up"
"KLB",-3.72786870856254,3.5241976802087,-15.4651210394962,2.60221457020912e-09,1.36843958710872e-07,11.9603417599792,"Down"
"PDZRN3",2.52892198470268,2.94963871455257,15.4665358628553,2.59947585760807e-09,1.36843958710872e-07,11.9571671189392,"Up"
"LIMK1",2.56431897288532,3.26198917253531,15.4657608081204,2.60097576696498e-09,1.36843958710872e-07,11.9438185902145,"Up"
"ZNF462",-2.20637942241642,4.62541406180117,-15.48964721541,2.5551762170275e-09,1.36843958710872e-07,11.939777874931,"Down"
"SLCO2A1",-1.54970562108911,6.53496789193873,-15.4973642732891,2.54056621825815e-09,1.36843958710872e-07,11.8848740603857,"Down"
"SLC16A2",-3.30430971783472,4.04376771257759,-15.3415627958104,2.85383438694397e-09,1.46415625193576e-07,11.8481872862028,"Down"
"RGS10",2.03168343463196,3.94105780272453,15.2369335998656,3.08747664402804e-09,1.5649414748706e-07,11.7417906612183,"Up"
"SERPINC1",-2.28443797741717,3.68883192179961,-15.2258829784063,3.11333301600476e-09,1.56859784411162e-07,11.7355259619096,"Down"
"LHX4",2.89454037261022,2.94804753453099,15.1921850493037,3.19363297413126e-09,1.57444680469979e-07,11.7539292580732,"Up"
"TLR3",-2.31780346443159,3.54027952218314,-15.2117920538512,3.14664256875481e-09,1.57444680469979e-07,11.7519149432291,"Down"
"IGDCC3",1.76066795157262,4.51937572027089,15.1806448138888,3.22164401794121e-09,1.5759833004045e-07,11.6921437032205,"Up"
"IQSEC3",2.09091261854037,2.02346711557844,15.1066215952033,3.40774214201237e-09,1.62913308993705e-07,11.6822146057373,"Up"
"LINGO1",2.73938023573332,3.23220668515157,15.0615054415959,3.52683246381843e-09,1.67654058477787e-07,11.6475951572012,"Up"
"NMUR1",2.51707443395304,1.8829184911147,15.0187632363752,3.64380714342751e-09,1.72001685142068e-07,11.6277106273368,"Up"
"IFIH1",-2.1298475760996,4.0963906600233,-14.9997977395937,3.69704574763566e-09,1.72816349558925e-07,11.5664592851862,"Down"
"PTCHD1",2.95568646608833,2.96917716557095,14.9599568764895,3.81163763753809e-09,1.77102540259804e-07,11.5828818510406,"Up"
"CNTNAP5",-2.6769467370846,4.64139852236725,-14.9534082690563,3.83083697733353e-09,1.77102540259804e-07,11.5244343707727,"Down"
"THBS1",2.35734507070442,3.96066105147387,14.9314577121457,3.89595686249703e-09,1.78155331744837e-07,11.5042519188696,"Up"
"DENND4C",-3.11698009936135,5.16609440825137,-14.9349010000487,3.88566330248156e-09,1.78155331744837e-07,11.5024966577751,"Down"
"SFRP4",2.04950183326195,2.50515814176715,14.9103807968223,3.95961009039539e-09,1.7911913602466e-07,11.5402730572221,"Up"
"VAV3",-1.56107133342699,5.96558046446263,-14.9148244013756,3.94609745303417e-09,1.7911913602466e-07,11.4638613389505,"Down"
"GRK5",-2.57041428172947,4.9224889259799,-14.8858447761365,4.03512658249856e-09,1.80258128782315e-07,11.461755742543,"Down"
"CHIC1",1.5508960370409,5.22748101356569,14.8800310303942,4.05324679133056e-09,1.80258128782315e-07,11.4523241932045,"Up"
"SLC9A7",1.78270815167597,3.20769243554738,14.7969993665781,4.32184668189286e-09,1.85530703986972e-07,11.4404889007499,"Up"
"C5",-1.72469908410169,6.51640598823408,-14.6530909196106,4.8339570222405e-09,1.97441331966658e-07,11.217320936198,"Down"
"NR4A2",2.90082197206168,3.50272813648411,14.6272751270005,4.93256371097915e-09,2.00495609005693e-07,11.278514531811,"Up"
"CLIP2",2.31034651400017,3.38311282831018,14.6203599584786,4.95934400210796e-09,2.00615002085271e-07,11.2909429255683,"Up"
"KCNQ4",2.53793586958367,2.44855220544217,14.5966552036682,5.05234202736018e-09,2.03399070900519e-07,11.302547058209,"Up"
"CCDC85A",4.4443847269858,2.04307792255331,14.58327599829,5.10566017355295e-09,2.03597273461017e-07,11.2598141786404,"Up"
"LBH",2.81236411888831,3.97889071629209,14.5853673551664,5.09728593391096e-09,2.03597273461017e-07,11.2387921532972,"Up"
"GLI3",3.17818365693666,1.80941676657302,14.5244652039537,5.34733420179317e-09,2.0759589183647e-07,11.2301145735374,"Up"
"FAM43A",3.36891099137045,4.33570245312612,14.5228909529183,5.35397058812861e-09,2.0759589183647e-07,11.1880456783863,"Up"
"FOXO1",-1.84045662708464,4.73746512609342,-14.5448891935678,5.26203481186216e-09,2.0759589183647e-07,11.1871758532388,"Down"
"SLC25A38",1.71296502019195,5.35385429490416,14.5249769261411,5.34517890560321e-09,2.0759589183647e-07,11.1580025700938,"Up"
"DNAJB5",1.96830162351465,4.31926388621381,14.4569316148987,5.64017120629278e-09,2.14734844026007e-07,11.1196424821518,"Up"
"SERINC4",1.59497386416065,4.77457006321324,14.4613045083539,5.62069512158105e-09,2.14734844026007e-07,11.11871218594,"Up"
"KCNB2",-3.61800258110924,3.88050302331172,-14.3523064193002,6.12854537615511e-09,2.27161148876516e-07,11.07267977742,"Down"
"CDK5R1",3.02456915714419,2.03779876318087,14.2741267261038,6.52320405225149e-09,2.37602765782009e-07,11.0147573091744,"Up"
"MASP1",-2.66823260881088,4.29562280699556,-14.2306422167768,6.75451179941635e-09,2.40815518136819e-07,10.954885110532,"Down"
"SMOC1",-1.94968892613917,4.88196431940057,-14.2341453823965,6.73555361891261e-09,2.40815518136819e-07,10.9301463997523,"Down"
"SLC35F3",2.70570382447538,1.80276070530465,14.2026113406115,6.9082960656449e-09,2.43586746096154e-07,10.9461576798389,"Up"
"FZD9",1.62454394111751,5.16194639055353,14.2082388309982,6.87712195212635e-09,2.43586746096154e-07,10.9027365005031,"Up"
"FUT11",1.55028871213401,5.70711628074818,14.190764137876,6.97442424825588e-09,2.44511690103437e-07,10.8826535306472,"Up"
"MME",3.36310428542704,1.9495200097766,14.1494730592316,7.21029000729675e-09,2.48547293612477e-07,10.9466354714436,"Up"
"NIPAL4",-3.41892183524829,3.06681037998237,-14.1206768214378,7.37986684714287e-09,2.51393520857733e-07,10.9260451683555,"Down"
"REEP1",2.00270994694753,2.58703690952831,14.0780073959691,7.63909813418478e-09,2.5725443921308e-07,10.8599219534915,"Up"
"AQP11",-1.54490624617237,3.75130302825967,-14.0440799445976,7.85222688486103e-09,2.62177130988971e-07,10.8396422777288,"Down"
"GRIP1",2.76926716014527,2.78806955345821,13.9863384048848,8.22983997404359e-09,2.64710782424253e-07,10.8108370419378,"Up"
"EOMES",6.23067042640005,2.82971394394436,13.9784405834184,8.2829935651802e-09,2.64726130921804e-07,10.7968809536632,"Up"
"RNF2",1.92871826871742,5.1424283310305,13.9750213039989,8.30612058038461e-09,2.64726130921804e-07,10.7107415331978,"Up"
"BDKRB2",-2.58328515921196,3.73188171283875,-13.9593756002026,8.41283543669517e-09,2.65114596870236e-07,10.7799349558693,"Down"
"SDR42E1",-1.66804985929593,4.63480946485631,-13.9490164520884,8.48430515308708e-09,2.66369192380876e-07,10.7086327541716,"Down"
"IL17RD",1.53725170831381,5.05875323525007,13.9405092327523,8.54348769379392e-09,2.66780926424617e-07,10.6865628850365,"Up"
"COBL",-1.51359923708382,5.23895690899508,-13.9158707208237,8.71741724509497e-09,2.70658113284978e-07,10.6622507081782,"Down"
"PTGS2",1.69966882828444,2.23184278408533,13.9020127341718,8.81691889350836e-09,2.72741013124924e-07,10.7251178818989,"Up"
"F2RL1",-2.71265080995138,4.26094066812972,-13.8703645469641,9.04877776867387e-09,2.77870131918328e-07,10.676089997802,"Down"
"DPF3",-1.52376526521757,3.14355789084859,-13.8185409797881,9.4427618983283e-09,2.86828153835864e-07,10.640081014335,"Down"
"DRD1",-2.63790963600824,2.59755180926237,-13.7606247395112,9.90506758337656e-09,2.97647280880466e-07,10.6305861046032,"Down"
"LRRK1",-1.90733055673206,3.90204043452984,-13.7490569686226,1.00002967001531e-08,2.98377646932938e-07,10.5398157900019,"Down"
"DIO2",-2.05067561106674,6.2543480634569,-13.7436704801816,1.00449761975978e-08,2.98651695146953e-07,10.5123362168996,"Down"
"COL18A1",-1.52444283346638,6.59807395536187,-13.6532363749508,1.08281455154898e-08,3.16347279053232e-07,10.4166582140056,"Down"
"MC5R",-3.30709323269086,3.42994240704633,-13.6329550716437,1.10126702805118e-08,3.17330848425433e-07,10.5234913388544,"Down"
"AKAP12",2.08273596658828,4.36407017798592,13.639328931047,1.09543165461123e-08,3.17330848425433e-07,10.4344401394022,"Up"
"SLC40A1",-1.61033750591341,7.77690980035762,-13.6334254578476,1.10083523844787e-08,3.17330848425433e-07,10.3666960403008,"Down"
"SCNN1G",1.83407491210694,3.46259667924196,13.6256474964246,1.10799849840904e-08,3.18180865720602e-07,10.4452547969268,"Up"
"COL9A3",1.84024871443838,3.19543942955422,13.5994105068506,1.13253500049859e-08,3.23022016752379e-07,10.4438463250406,"Up"
"ADAMTS20",1.98470507934159,4.10512727033592,13.5861491363637,1.14515917666561e-08,3.23808435636729e-07,10.392022238452,"Up"
"IRF2",-1.82240531039697,5.72413772522625,-13.5843978967546,1.14683757808112e-08,3.23808435636729e-07,10.3686234218799,"Down"
"UTP23",1.53166609934484,5.63708171457984,13.5762282511484,1.15470254749976e-08,3.24938703500434e-07,10.3535238277793,"Up"
"PIK3C2G",-2.47463892838245,3.34766395418804,-13.5550702254647,1.17534308985289e-08,3.27890241779049e-07,10.4578576909398,"Down"
"CHST11",2.41377034632919,2.24095430700601,13.5535087888586,1.17688201827042e-08,3.27890241779049e-07,10.4467585834823,"Up"
"GREB1L",-4.18050094605007,5.41809671879473,-13.499761712191,1.2312013073296e-08,3.39527466502108e-07,10.3112917663234,"Down"
"MSANTD3",1.58456958898314,6.31151194095434,13.4663345059817,1.26634332776074e-08,3.43710089025125e-07,10.2763750574551,"Up"
"DLX6",2.10250828925188,4.10626918857583,13.4360961181469,1.29906548086796e-08,3.5145777993643e-07,10.259941511706,"Up"
"STRIP2",3.14456389216779,2.47432478661922,13.3834265686582,1.35825813414427e-08,3.6280583938698e-07,10.3232366982657,"Up"
"GPR162",1.73738646589965,2.91265885164501,13.3761474756298,1.3666648036938e-08,3.63765825184881e-07,10.2877431667827,"Up"
"ESR1",-5.09416455770754,3.64602345284627,-13.3419263935469,1.40694559044295e-08,3.67640999937484e-07,10.286112618621,"Down"
"GPR157",-2.36060134548715,3.93125848797458,-13.3179777683561,1.43589520918498e-08,3.7174222431023e-07,10.2193428611009,"Down"
"REL",2.16943449438893,5.18240473295194,13.2801696927175,1.48291341413937e-08,3.81444131165777e-07,10.1206120819337,"Up"
"AMDHD1",-3.45105019083421,5.272137646418,-13.2739706446426,1.49077965917014e-08,3.81444131165777e-07,10.113184259821,"Down"
"PLXDC2",-2.59096894706111,2.00068393572577,-13.2298219945238,1.54811946794166e-08,3.88832155321227e-07,10.1753998058784,"Down"
"WDCP",2.2578082369866,4.67018721179558,13.2363832200529,1.53944950386755e-08,3.88832155321227e-07,10.0767299935103,"Up"
"HSPA12A",1.96733935891314,3.23915382480868,13.2227002210382,1.55758973492933e-08,3.88889021652683e-07,10.1695899518449,"Up"
"PPARA",-2.45398970012588,5.67074271145318,-13.172409401082,1.6262682473498e-08,4.02453559800037e-07,9.99509967840739,"Down"
"SDC3",3.91907941103242,2.52554151622514,13.1396792056483,1.67271436324785e-08,4.11526861180333e-07,10.115691533867,"Up"
"RASGEF1A",-2.53716714038948,5.13424187156671,-13.134248045846,1.68055884673291e-08,4.12251374239379e-07,9.98738448335911,"Down"
"NFIB",-3.26966056900837,3.47678786586422,-13.1031516583523,1.72624301081338e-08,4.14988819799536e-07,10.0479259909412,"Down"
"TESK1",2.76161348836816,3.4678574770769,13.1042015181741,1.72467900451516e-08,4.14988819799536e-07,10.0312407709453,"Up"
"PENK",1.87104291846133,4.05711105885308,13.1149178327447,1.70880166418693e-08,4.14988819799536e-07,10.0147093259239,"Up"
"FZD3",-2.23255038239562,5.91668056103614,-13.1096581229083,1.71657470046607e-08,4.14988819799536e-07,9.95126095528955,"Down"
"SLC30A10",-3.46580975733749,3.7139678104676,-13.0730936867985,1.77167589773807e-08,4.22291246560003e-07,10.0247276174397,"Down"
"PRKCB",4.47512233426412,2.75623258281535,13.0455796517161,1.81439455561277e-08,4.30037064533123e-07,10.0372874285946,"Up"
"SHROOM4",2.06892818959512,5.20960942479567,13.0327202750497,1.83473965824353e-08,4.32422954746808e-07,9.89353444735646,"Up"
"ADAM12",-2.10974171412688,3.8735855674029,-13.0237909954286,1.84901142248186e-08,4.34569332646994e-07,9.91955895965693,"Down"
"GAS2L1",1.90413523329883,4.60350795006177,13.0186503242482,1.85728203783165e-08,4.35297244187061e-07,9.88659736259985,"Up"
"FAM107A",-2.19663668438447,3.86563489144892,-12.9804157461912,1.9200613912734e-08,4.47138757721262e-07,9.92408936626352,"Down"
"TDRKH",1.50771435752141,3.7358762978044,12.9782119990502,1.92374887443662e-08,4.47138757721262e-07,9.9191622273421,"Up"
"BAG3",3.10400089739913,5.63754145526571,12.939211757444,1.99028559174151e-08,4.56443903000717e-07,9.82045508540212,"Up"
"PLXNA2",-1.70040863103411,5.22785368626402,-12.9388541938867,1.99090696935183e-08,4.56443903000717e-07,9.79437907593701,"Down"
"PRR7",1.65600752476305,4.05574575613543,12.9339085639164,1.99952301047559e-08,4.57173549188631e-07,9.8598651647847,"Up"
"LIN28B",2.52655222273275,3.12648336055242,12.8747480767849,2.1057632552409e-08,4.77571213735765e-07,9.82276978168927,"Up"
"PLS1",-1.64393319540159,3.65908008827984,-12.8682268247112,2.11784115810477e-08,4.79019233986385e-07,9.80828838550325,"Down"
"FRMD5",1.67010768271971,2.45197546853956,12.8592551202075,2.13457964073536e-08,4.80223344843512e-07,9.85304898669195,"Up"
"GAB3",3.44712764521116,1.93364176861785,12.848122576923,2.15554803278233e-08,4.8106842081225e-07,9.86348702691303,"Up"
"PPP1R3C",-2.53679305962537,3.89661565051329,-12.8492127209827,2.15348495323169e-08,4.8106842081225e-07,9.77260613770779,"Down"
"ASPM",-1.79719033161981,6.93860075992293,-12.8451386926162,2.16120588384871e-08,4.8106842081225e-07,9.72395643786191,"Down"
"CCND3",1.6986334087204,6.60187594533838,12.8514759022406,2.14920871018067e-08,4.8106842081225e-07,9.70319266971596,"Up"
"RASSF10",4.11543514822158,3.78673778207024,12.8182606390541,2.21289756331252e-08,4.81403230294842e-07,9.8297492080079,"Up"
"SLC35G2",1.55833715525313,4.66518640248021,12.8228358689869,2.20400526586164e-08,4.81403230294842e-07,9.70083355968451,"Up"
"HMGCS2",-2.1393027448587,5.16465960054835,-12.817590579538,2.21420311533282e-08,4.81403230294842e-07,9.69353762689409,"Down"
"KCNT1",-1.74661628761994,5.42709592691991,-12.8178988435014,2.21360238707562e-08,4.81403230294842e-07,9.67578585377041,"Down"
"TMEM171",2.31006915923929,4.18684995283559,12.811334405719,2.22643284380193e-08,4.82814586282201e-07,9.72440338063515,"Up"
"GDF11",2.65596600167959,2.51040753173335,12.7914299174688,2.2658292253628e-08,4.88838130825707e-07,9.81650017346807,"Up"
"FOXG1",1.51870308869614,2.97826917927635,12.7836252587248,2.28148118594272e-08,4.90956079246089e-07,9.75279774925813,"Up"
"FGD6",-1.63763004578522,5.56250962486189,-12.7714835802739,2.30606292279483e-08,4.93720443572409e-07,9.64359833928791,"Down"
"P4HA2",1.96093759143147,4.4498082403623,12.7560010720752,2.3378231633348e-08,4.98214493737923e-07,9.64348166761243,"Up"
"KCNG2",2.66050066206715,2.86745744818056,12.7372433346732,2.37693481319328e-08,4.99699749788931e-07,9.74236354588849,"Up"
"IL20RA",-3.08730731250416,5.1270695229921,-12.7315266524751,2.38899435221764e-08,4.99699749788931e-07,9.62736613524007,"Down"
"CDC42EP3",3.09806611487004,2.78417751189574,12.726608145283,2.39942287461158e-08,4.99721387796579e-07,9.75858042966459,"Up"
"ITGA9",-1.87826487564275,4.96453708892079,-12.6477116497459,2.57358202612356e-08,5.26864213328556e-07,9.5396967010203,"Down"
"CHAC2",1.71044776136934,3.9187037963487,12.6298735120645,2.61481688194317e-08,5.31485413206551e-07,9.53636298342568,"Up"
"JAG2",-1.84405627072012,6.06447580387259,-12.6270443287329,2.62142199287757e-08,5.31485413206551e-07,9.51564823614854,"Down"
"PXDN",-2.34529457017746,4.27621501192623,-12.5885984256429,2.71298315663862e-08,5.47411037888666e-07,9.51040407374145,"Down"
