"gene","module_membership","gene_significance"
"PLCB1",0.860169628452426,0.913733602301314
"ZNF341",0.89574213341625,0.913667467751221
"FAM124A",0.810067879550891,0.911762098957703
"EBF2",0.881782494814108,0.908860415456526
"BFAR",0.8275218079084,0.908676793757565
"ADAMTS17",0.892458119535514,0.90762556962356
"MCF2L",0.931610178174687,0.906039269403158
"CUX2",0.851344380018606,0.905405076310553
"PGP",0.896448065438756,0.9048278508417
"OTC",0.887165266933587,0.902438217184141
"KLHL36",0.913632875379439,0.901277488257588
"KCNT2",0.881660059103651,0.901127671014922
"RBM45",0.955028231830935,0.899848484893312
"FOXRED2",0.946773740929116,0.898683253177092
"CHEK1",0.975252751049477,0.898032294779917
"PPFIBP2",0.911047288554239,0.898008145096005
"NKX2-1",0.905005654988427,0.895883975482875
"GMEB2",0.874619026813054,0.889835239687226
"SPTLC1",0.851180665487858,0.88799988584788
"PTPRE",0.915909767150732,0.88538406606324
"PRSS12",0.926953782571568,0.88308399907236
"LY96",0.918850539928174,0.882108806699862
"NKX3-2",0.936212491536909,0.881677603204248
"MTHFD2",0.88490747462049,0.880304692611038
"FAM163A",0.905129156110099,0.879459865368814
"PPP3CC",0.921521835517414,0.878526592369645
"ERMP1",0.829728054191964,0.878112054265955
"MED21",0.872437041468318,0.876718615261989
"FBXO42",0.942737377411088,0.875779260254722
"PLCG1",0.922190716012925,0.875708722882234
"GAREM1",0.917067119211923,0.874200548014121
"SLC6A13",0.803094051101302,0.873672043718295
"PRPSAP2",0.914175184299259,0.872821443540597
"PENK",0.92905866220858,0.871341142766728
"GP1BB",0.941067434454445,0.870515876366828
"N6AMT1",0.871162594002564,0.86985550382967
"KLHL5",0.811944154743412,0.869496800099945
"ATF3",0.931402694736056,0.868081932645227
"BYSL",0.885280519022356,0.867041299445043
"NCF4",0.913636205344654,0.865558320299865
"HOMER1",0.890389673527613,0.86553811431377
"CCND2",0.923046265503856,0.864541620445909
"ABCB10",0.847158448423592,0.863889566155734
"PTGR2",0.893955698610222,0.863781293172567
"HMX3",0.938709263869597,0.862663353180664
"SRD5A2",0.914542302775263,0.860577713571667
"EZH2",0.938306823952937,0.860470210207274
"PIGU",0.898065801043791,0.860151860833702
"MED28",0.914545089029538,0.857520426247979
"ALKBH8",0.83902762247259,0.857184929169321
"DAB2IP",0.842557684223976,0.856709582114355
"CHST11",0.888655048884233,0.855445331031635
"CFLAR",0.846552579301355,0.850539147322111
"DAGLA",0.890936198710411,0.849823528734478
"TM6SF1",0.925577314972582,0.849295853580208
"CABLES2",0.914003595508527,0.849099306512044
"NRIP1",0.817581736717471,0.848621943401416
"CLINT1",0.915080600721554,0.847207567470995
"TUB",0.852806098354177,0.845590950315964
"LRRC40",0.882089353763308,0.845545441654616
"LRRC59",0.911102148419441,0.843166630694152
"SEL1L3",0.908172723904608,0.842786291752981
"JARID2",0.929132025324945,0.842512900319464
"LLGL1",0.928893940025649,0.839310906528113
"DSCC1",0.842167975429223,0.838189517460193
"NFIX",0.807038726535002,0.838075719567536
"ARHGAP18",0.884450432822212,0.837900527710621
"DTD1",0.80122448334112,0.837344835176288
"TRIM54",0.842705527113829,0.837129370660703
"FSD1L",0.890235076236477,0.837091029134034
"NCOA4",0.873455941182467,0.837072047401236
"ARL6",0.809261845792396,0.835490664594129
"SLC5A6",0.914279561102372,0.8350992150052
"SLITRK4",0.876925013225412,0.835065207402109
"TMEM65",0.8950470974504,0.834864986760106
"COG2",0.909544965048829,0.830587895255532
"UTP11",0.930221795333842,0.828058204598452
"GPSM1",0.900935880250688,0.827967945333161
