"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0005249","voltage-gated potassium channel activity","12/859","20/6395",0.6,4.4668,6.12,"1.433e-06","2.508e-05","2.030e-05","KCNG1/KCNQ4/KCNB2/KCNG2/CNGA3/TSKU/KCNH4/DHRS3/HCN2/KCNG3/KCNC2/KCNJ5",12
"GO:0005216","monoatomic ion channel activity","37/859","126/6395",0.293651,2.1861,5.3,"1.810e-06","3.041e-05","2.462e-05","TRPC7/KCNG1/CACNA1S/KCNK12/SLC24A3/KCNQ4/KCNB2/SCNN1G/KCNT1/KCNG2/CNGA3/TRPA1/SCN8A/SLC24A4/CACNG5/GRIN2C/TSKU/OTOP3/KCNK13/CACNA1C/OTOP2/KCNH4/CACNA1H/DHRS3/TRPC5/SCN5A/HCN2/KCNG3/KCNC2/GABRP/KCNJ5/KCNK15/GRIN2A/TRPV2/KCNMB4/KCNK5/ANO1",37
"GO:0022843","voltage-gated monoatomic cation channel activity","16/859","34/6395",0.470588,3.5034,5.76,"2.024e-06","3.269e-05","2.646e-05","KCNG1/CACNA1S/KCNQ4/KCNB2/KCNG2/CNGA3/CACNG5/TSKU/CACNA1C/KCNH4/CACNA1H/DHRS3/HCN2/KCNG3/KCNC2/KCNJ5",16
"GO:0001653","peptide receptor activity","14/859","28/6395",0.5,3.7224,5.69,"3.616e-06","5.624e-05","4.553e-05","NMUR1/BDKRB2/F2RL1/MC5R/GPR139/OGFRL1/VIPR1/GUCY2C/NPR3/SSTR3/NPY5R/BDKRB1/NPY2R/MC3R",14
"GO:0022857","transmembrane transporter activity","84/859","393/6395",0.21374,1.5912,4.77,"5.011e-06","7.517e-05","6.085e-05","TRPC7/KCNG1/SLC16A3/CACNA1S/SLC23A1/AQP9/KCNK12/SLC24A3/SLCO2A1/SLC16A2/SLC9A7/KCNQ4/SLC25A38/KCNB2/NIPAL4/AQP11/SLC40A1/SCNN1G/SLC30A10/KCNT1/KCNG2/SLC35F1/SLC25A29/CNGA3/TRPA1/SCN8A/SLC24A4/SLC1A2/CACNG5/SLC4A4/ABCA1/ABCG1/GRIN2C/SLC2A9/SLC6A9/SLC2A10/MFSD12/TSKU/OTOP3/SLC4A10/SLC22A16/KCNK13/ATP7B/SLC2A5/SLC38A4/SFXN5/SLC41A3/SLC5A12/CACNA1C/OTOP2/KCNH4/CACNA1H/SLC6A6/SLC7A5/SLC39A10/DHRS3/TRPC5/SCN5A/HCN2/KCNG3/KCNC2/GC/GABRP/KCNJ5/SLC37A4/SLCO2B1/KCNK15/GRIN2A/SVOPL/SLC7A11/TRPV2/SLC38A11/FLVCR2/SLC22A3/SLC9A2/KCNMB4/SLC16A5/SLC16A12/KCNK5/SLC26A1/SLC46A2/SLC5A9/SLC6A1/ANO1",84
"GO:0015318","inorganic molecular entity transmembrane transporter activity","52/859","212/6395",0.245283,1.8261,4.82,"6.841e-06","9.908e-05","8.020e-05","TRPC7/KCNG1/CACNA1S/AQP9/KCNK12/SLC24A3/SLC9A7/KCNQ4/KCNB2/NIPAL4/SLC40A1/SCNN1G/SLC30A10/KCNT1/KCNG2/CNGA3/SCN8A/SLC24A4/SLC1A2/CACNG5/SLC4A4/GRIN2C/SLC6A9/TSKU/OTOP3/SLC4A10/KCNK13/ATP7B/CACNA1C/OTOP2/KCNH4/CACNA1H/SLC6A6/SLC39A10/DHRS3/TRPC5/SCN5A/HCN2/KCNG3/KCNC2/KCNJ5/SLC37A4/KCNK15/GRIN2A/TRPV2/SLC9A2/KCNMB4/KCNK5/SLC26A1/SLC5A9/SLC6A1/ANO1",52
"GO:0004866","endopeptidase inhibitor activity","16/859","37/6395",0.432432,3.2193,5.33,"7.964e-06","1.115e-04","9.025e-05","AGT/SERPINC1/C5/TIMP4/CRIM1/SERPINA10/KNG1/SERPINF2/TFPI2/TIMP3/SERPIND1/AMBP/FETUB/PAPLN/ITIH2/AHSG",16
"GO:0008324","monoatomic cation transmembrane transporter activity","47/859","188/6395",0.25,1.8612,4.72,"1.107e-05","1.500e-04","1.215e-04","TRPC7/KCNG1/CACNA1S/KCNK12/SLC24A3/SLC9A7/KCNQ4/KCNB2/NIPAL4/SLC40A1/SCNN1G/SLC30A10/KCNT1/KCNG2/CNGA3/SCN8A/SLC24A4/SLC1A2/CACNG5/SLC4A4/SLC6A9/TSKU/OTOP3/SLC4A10/KCNK13/ATP7B/SLC41A3/CACNA1C/OTOP2/KCNH4/CACNA1H/SLC6A6/SLC39A10/DHRS3/TRPC5/SCN5A/HCN2/KCNG3/KCNC2/KCNJ5/KCNK15/TRPV2/SLC9A2/KCNMB4/KCNK5/SLC5A9/SLC6A1",47
"GO:0005244","voltage-gated monoatomic ion channel activity","18/859","47/6395",0.382979,2.8512,5.02,"1.682e-05","2.207e-04","1.787e-04","KCNG1/CACNA1S/KCNQ4/KCNB2/KCNG2/CNGA3/CACNG5/GRIN2C/TSKU/CACNA1C/KCNH4/CACNA1H/DHRS3/HCN2/KCNG3/KCNC2/KCNJ5/GRIN2A",18
"GO:0061135","endopeptidase regulator activity","16/859","39/6395",0.410256,3.0542,5.07,"1.793e-05","2.282e-04","1.847e-04","AGT/SERPINC1/C5/TIMP4/CRIM1/SERPINA10/KNG1/SERPINF2/TFPI2/TIMP3/SERPIND1/AMBP/FETUB/PAPLN/ITIH2/AHSG",16
"GO:0022832","voltage-gated channel activity","18/859","48/6395",0.375,2.7918,4.91,"2.358e-05","2.913e-04","2.358e-04","KCNG1/CACNA1S/KCNQ4/KCNB2/KCNG2/CNGA3/CACNG5/GRIN2C/TSKU/CACNA1C/KCNH4/CACNA1H/DHRS3/HCN2/KCNG3/KCNC2/KCNJ5/GRIN2A",18
"GO:0061134","peptidase regulator activity","17/859","44/6395",0.386364,2.8764,4.92,"2.519e-05","3.023e-04","2.447e-04","AGT/SERPINC1/C5/TIMP4/CRIM1/FBLN1/SERPINA10/KNG1/SERPINF2/TFPI2/TIMP3/SERPIND1/AMBP/FETUB/PAPLN/ITIH2/AHSG",17
"GO:0030414","peptidase inhibitor activity","16/859","40/6395",0.4,2.9779,4.94,"2.620e-05","3.057e-04","2.475e-04","AGT/SERPINC1/C5/TIMP4/CRIM1/SERPINA10/KNG1/SERPINF2/TFPI2/TIMP3/SERPIND1/AMBP/FETUB/PAPLN/ITIH2/AHSG",16
"GO:0015075","monoatomic ion transmembrane transporter activity","54/859","235/6395",0.229787,1.7107,4.37,"3.395e-05","3.854e-04","3.120e-04","TRPC7/KCNG1/CACNA1S/KCNK12/SLC24A3/SLC9A7/KCNQ4/KCNB2/NIPAL4/SLC40A1/SCNN1G/SLC30A10/KCNT1/KCNG2/CNGA3/TRPA1/SCN8A/SLC24A4/SLC1A2/CACNG5/SLC4A4/GRIN2C/SLC6A9/TSKU/OTOP3/SLC4A10/KCNK13/ATP7B/SFXN5/SLC41A3/CACNA1C/OTOP2/KCNH4/CACNA1H/SLC6A6/SLC39A10/DHRS3/TRPC5/SCN5A/HCN2/KCNG3/KCNC2/GABRP/KCNJ5/KCNK15/GRIN2A/TRPV2/SLC9A2/KCNMB4/KCNK5/SLC26A1/SLC5A9/SLC6A1/ANO1",54
"GO:0004867","serine-type endopeptidase inhibitor activity","10/859","19/6395",0.526316,3.9183,5.02,"5.321e-05","5.882e-04","4.761e-04","AGT/SERPINC1/CRIM1/SERPINA10/SERPINF2/TFPI2/SERPIND1/AMBP/PAPLN/ITIH2",10
"GO:0004252","serine-type endopeptidase activity","16/859","45/6395",0.355556,2.647,4.37,"1.399e-04","1.507e-03","1.220e-03","MASP1/CFI/DPP4/F10/TMPRSS9/C1S/TMPRSS6/RHBDF1/RHBDL3/F7/F2/HABP2/PROZ/TMPRSS7/PLAU/F9",16
"GO:0008528","G protein-coupled peptide receptor activity","11/859","25/6395",0.44,3.2757,4.49,"1.779e-04","1.868e-03","1.512e-03","NMUR1/BDKRB2/F2RL1/MC5R/GPR139/VIPR1/SSTR3/NPY5R/BDKRB1/NPY2R/MC3R",11
"GO:0015081","sodium ion transmembrane transporter activity","15/859","43/6395",0.348837,2.597,4.14,"2.870e-04","2.940e-03","2.380e-03","SLC24A3/SLC9A7/SCNN1G/SCN8A/SLC24A4/SLC1A2/SLC4A4/SLC6A9/SLC4A10/CACNA1H/SLC6A6/SCN5A/SLC9A2/SLC5A9/SLC6A1",15
"GO:0005342","organic acid transmembrane transporter activity","18/859","57/6395",0.315789,2.351,4.04,"3.059e-04","3.059e-03","2.476e-03","SLC16A3/SLC16A2/SLC25A38/SLC25A29/SLC1A2/GRIN2C/SLC6A9/SFXN5/SLC5A12/SLC6A6/SLC7A5/SLCO2B1/GRIN2A/SLC7A11/SLC16A5/SLC16A12/SLC26A1/SLC6A1",18
"GO:0008514","organic anion transmembrane transporter activity","22/859","78/6395",0.282051,2.0998,3.85,"4.192e-04","4.094e-03","3.314e-03","SLC16A3/SLCO2A1/SLC16A2/SLC25A38/SLC25A29/SLC1A2/SLC4A4/GRIN2C/SLC6A9/SLC4A10/SFXN5/SLC5A12/SLC6A6/SLC7A5/SLC37A4/SLCO2B1/GRIN2A/SLC7A11/SLC16A5/SLC16A12/SLC26A1/SLC6A1",22
