"gene","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"UCK2",1.1977,8.0367,6.12017152802792,"5.087e-05","1.433e-04",1.46
"CNOT4",0.5225,5.846,6.05429587310088,"5.626e-05","1.556e-04",1.46
"WBSCR22",0.64,6.0383,6.07333530755463,"5.464e-05","1.518e-04",1.46
"SLC22A5",-0.9229,6.8488,-6.11322778786071,"5.142e-05","1.444e-04",1.45
"EHD3",0.3981,6.6299,6.04046752574307,"5.746e-05","1.585e-04",1.45
"MXRA8",1.3116,1.9726,5.77983532083968,"8.610e-05","2.233e-04",1.45
"RBM45",0.4664,6.4035,6.06893357782346,"5.501e-05","1.527e-04",1.44
"RAPGEF3",-1.2228,7.1352,-6.12131101463523,"5.079e-05","1.432e-04",1.44
"NUDT7",0.6472,6.2504,6.05048831946502,"5.659e-05","1.562e-04",1.44
"LSM11",0.7933,5.2856,6.06525954401682,"5.532e-05","1.535e-04",1.44
"AASDHPPT",0.5841,3.9696,5.99189109576789,"6.192e-05","1.690e-04",1.44
"CMTM8",-1.6929,7.1388,-6.16437013467172,"4.757e-05","1.351e-04",1.43
"GFRA1",-1.7761,1.5888,-5.66679085834248,"1.029e-04","2.609e-04",1.42
"LRBA",-0.7903,6.0958,-6.02512871779592,"5.883e-05","1.617e-04",1.42
"CHDH",-0.5731,6.0725,-6.03924993157054,"5.757e-05","1.587e-04",1.42
"ANKRD34B",3.803,0.4554,5.53757990472267,"1.265e-04","3.117e-04",1.42
"PRMT7",0.3119,6.1197,6.03090991032438,"5.831e-05","1.604e-04",1.42
"DGKA",0.7062,5.9368,6.03641437071742,"5.782e-05","1.593e-04",1.41
"KLHL18",0.6729,6.1347,6.02665578741756,"5.869e-05","1.614e-04",1.41
"HORMAD1",0.4602,2.5268,5.875423562825,"7.415e-05","1.966e-04",1.4
"GPR142",1.9946,0.8246,5.59142282149507,"1.160e-04","2.894e-04",1.4
"TAF1C",0.5181,4.6903,6.00793138532526,"6.041e-05","1.655e-04",1.4
"MCMBP",0.3543,7.2211,6.01446747477594,"5.980e-05","1.641e-04",1.39
"TMEM263",-0.2942,8.0279,-6.07447335911109,"5.455e-05","1.517e-04",1.39
"DNAAF1",-0.9655,2.2867,-5.8255141816003,"8.016e-05","2.097e-04",1.39
"BCAS2",0.5449,6.7451,6.07076670282469,"5.486e-05","1.524e-04",1.39
"BMP2K",-0.3342,6.3389,-6.01303166816295,"5.994e-05","1.644e-04",1.38
"HECTD2",1.0059,2.7883,5.89192309348644,"7.227e-05","1.926e-04",1.38
"RAVER2",0.338,6.1678,6.02422473744139,"5.891e-05","1.619e-04",1.38
"ATP5J2",-0.5581,7.8323,-6.06502876022392,"5.534e-05","1.535e-04",1.38
"OSBPL2",-0.5099,6.1634,-6.01839158076057,"5.944e-05","1.632e-04",1.38
"SLC35E3",0.383,7.878,6.06384305206949,"5.544e-05","1.537e-04",1.38
"RB1",0.4633,6.0654,5.99994104953993,"6.115e-05","1.673e-04",1.38
"KIT",-0.7462,7.5648,-6.10173363641891,"5.232e-05","1.465e-04",1.37
"STK10",-0.6382,3.6682,-5.94428657204972,"6.664e-05","1.799e-04",1.37
"LRRC74B",1.2531,1.5017,5.63801828507086,"1.077e-04","2.719e-04",1.37
"MYLK2",4.5549,0.7638,5.55428147340774,"1.231e-04","3.042e-04",1.37
"TCEA1",0.3763,8.0993,6.05574933438884,"5.613e-05","1.553e-04",1.37
"SURF4",-0.4585,9.0001,-6.11173696761134,"5.153e-05","1.447e-04",1.37
"NRIP1",-0.8095,5.7491,-6.01093130081157,"6.013e-05","1.648e-04",1.37
"H2AFY",-0.4533,5.7548,-5.99720667205764,"6.141e-05","1.678e-04",1.37
"OTUD4",0.5395,6.1227,5.98794440502851,"6.229e-05","1.698e-04",1.37
