"gene","logFC_106839","logFC_299945","avg_logFC","SE_106839","SE_299945","FDR_106839","FDR_299945","regulation"
"LHX4",1.27854342949087,2.97220313989864,2.12537328469475,0.165042261645902,0.248028521065469,0.000288557869034966,1.39993430858714e-06,"UP"
"EGFR",-1.30627391592112,-2.9207598653484,-2.11351689063476,0.086295251497647,0.10467441444354,1.25447954187631e-05,2.7385789902947e-09,"DOWN"
"NIPAL4",-0.594450269740345,-3.63242209743016,-2.11343618358525,0.196688909031346,0.231452502067161,0.0331098372657267,1.90009862644784e-07,"DOWN"
"FGG",-0.709509125831897,-3.51619387584142,-2.11285150083666,0.116568696414904,0.672525575449322,0.00109150803008926,0.00074777159079786,"DOWN"
"KCNG1",1.0915367469334,3.13385729681885,2.11269702187613,0.229390781613973,0.181887111574982,0.0041063909923037,9.78202344736215e-08,"UP"
"XDH",-0.845666990346097,-3.37872496838241,-2.11219597936425,0.0974303979426198,0.353121032935835,0.000154711618457737,7.99353324093091e-06,"DOWN"
"SH3GL3",0.962377037521325,3.25603296363413,2.10920500057773,0.301359330582227,0.217990796438779,0.026399753597863,2.70056151061193e-07,"UP"
"MELTF",-0.779145141083648,-3.42256466154297,-2.10085490131331,0.0878474489609276,0.0743018571864139,0.000138393034672674,1.76364503667677e-10,"DOWN"
"GTF2A1L",-0.813872087229575,-3.3840307994566,-2.09895144334309,0.142627616657473,0.915912970518068,0.00154855009474649,0.00666428310510672,"DOWN"
"GLI3",0.856489344985866,3.33261615607022,2.09455275052804,0.13844600093649,0.290677086150465,0.00100303381155665,1.95397452744507e-06,"UP"
"CRYAA",1.19426602391749,2.97579878420005,2.08503240405877,0.145648467188541,0.460006125626532,0.000213137982709445,0.000161157284148059,"UP"
"VILL",-0.991757032379576,-3.176194756993,-2.08397589468629,0.136910151540551,0.496649617376317,0.000414702858723964,0.000175718049199116,"DOWN"
"NRP1",-0.86528350812446,-3.29918388074844,-2.08223369443645,0.110921475953698,0.282976685903527,0.000278728401751697,1.71180627357379e-06,"DOWN"
"ASB15",0.682913700555718,3.47932164634172,2.08111767344872,0.241005336912728,0.496154983899922,0.0422242772890953,8.7841127170598e-05,"UP"
"ELOVL2",-0.879380029635678,-3.28247986350238,-2.08092994656903,0.131867556700191,0.389171136048215,0.000660894010359847,2.13148035525245e-05,"DOWN"
"CNGA3",1.36278675621633,2.79249263959947,2.0776396979079,0.187154864979068,0.312971426004956,0.000403132579138423,1.37210833876299e-05,"UP"
"TRAF3IP3",-0.77092210557987,-3.38263070755801,-2.07677640656894,0.196853004471203,0.852080520083567,0.0107153219234717,0.00439783668372029,"DOWN"
"NFIB",-0.685308581132873,-3.46620367749585,-2.07575612931436,0.123409063733285,0.245691553187452,0.00177431788950514,4.03041538220292e-07,"DOWN"
"CAPSL",-1.22239326535396,-2.92434488982388,-2.07336907758892,0.221676587246409,0.693641293293629,0.00184347460652877,0.00304756626759781,"DOWN"
"SATB2",0.575459366404025,3.57026183381207,2.07286060010804,0.186071200038217,0.363165325750549,0.0302488584274884,6.57504184804955e-06,"UP"
"F2RL1",-1.25831830690573,-2.87499824304029,-2.06665827497301,0.131526617012144,0.193840386536689,9.32455645072848e-05,2.7957367234546e-07,"DOWN"
"GINS2",2.41324593189794,1.71741046339904,2.06532819764849,0.102608844831601,0.0775496161006311,3.0345352247947e-06,1.44510573240918e-08,"UP"
"VAT1L",0.638755842805108,3.4900151198531,2.0643854813291,0.211437396869663,0.379257939312594,0.0331535310606912,1.08717775316151e-05,"UP"
"LMO7",-1.10325428721687,-3.00853222973836,-2.05589325847761,0.125179498288256,0.0903669455442469,0.000142791581663257,9.42266450886688e-10,"DOWN"
"PRICKLE1",0.477675612626535,3.6278901985681,2.05278290559732,0.129864186038273,0.444405900187071,0.014330180315891,2.74931318131894e-05,"UP"
